#"geneId","sample","tissue","score"
"ENSG00000141736.13","GTEX-1117F-0226-SM-5GZZ7","adiposeSubcut","25.59"
"ENSG00000141736.13","GTEX-ZZPU-2726-SM-5NQ8O","adiposeSubcut","12.11"
"ENSG00000141736.13","GTEX-ZZ64-1626-SM-5E43W","adiposeSubcut","6.77"
"ENSG00000141736.13","GTEX-ZYY3-0226-SM-5E45M","adiposeSubcut","5.799"
"ENSG00000141736.13","GTEX-ZYW4-0226-SM-5E44M","adiposeSubcut","15.87"
"ENSG00000141736.13","GTEX-ZYVF-0226-SM-5GIEG","adiposeSubcut","14.38"
"ENSG00000141736.13","GTEX-ZYT6-0326-SM-7LG5R","adiposeSubcut","20.18"
"ENSG00000141736.13","GTEX-ZYFD-0226-SM-5NQ86","adiposeSubcut","16.7"
"ENSG00000141736.13","GTEX-ZYFC-0326-SM-5NQ7H","adiposeSubcut","16.06"
"ENSG00000141736.13","GTEX-ZXG5-0226-SM-59HJI","adiposeSubcut","15.15"
"ENSG00000141736.13","GTEX-ZXES-2026-SM-5NQ6R","adiposeSubcut","5.042"
"ENSG00000141736.13","GTEX-ZVZP-2326-SM-59HL4","adiposeSubcut","18"
"ENSG00000141736.13","GTEX-ZVZO-0226-SM-5A5LA","adiposeSubcut","18.15"
"ENSG00000141736.13","GTEX-ZVTK-0526-SM-5GZWT","adiposeSubcut","8.573"
"ENSG00000141736.13","GTEX-ZVT4-0226-SM-51MSD","adiposeSubcut","9.207"
"ENSG00000141736.13","GTEX-ZVT2-2226-SM-5NQ6P","adiposeSubcut","11"
"ENSG00000141736.13","GTEX-ZVP2-1826-SM-5GU62","adiposeSubcut","15.4"
"ENSG00000141736.13","GTEX-ZVE2-0326-SM-57WFC","adiposeSubcut","16.69"
"ENSG00000141736.13","GTEX-ZV68-0226-SM-59HJF","adiposeSubcut","14.2"
"ENSG00000141736.13","GTEX-ZUA1-0226-SM-5NQ9Q","adiposeSubcut","16.35"
"ENSG00000141736.13","GTEX-ZTX8-1526-SM-5N9GI","adiposeSubcut","13.52"
"ENSG00000141736.13","GTEX-ZTSS-2026-SM-5987K","adiposeSubcut","19.01"
"ENSG00000141736.13","GTEX-ZTPG-0226-SM-5O99I","adiposeSubcut","6.381"
"ENSG00000141736.13","GTEX-ZT9X-1926-SM-57WE7","adiposeSubcut","9.614"
"ENSG00000141736.13","GTEX-ZQG8-1526-SM-5HL65","adiposeSubcut","6.995"
"ENSG00000141736.13","GTEX-ZPU1-2426-SM-4WWFM","adiposeSubcut","26.36"
"ENSG00000141736.13","GTEX-ZPIC-1826-SM-57WFE","adiposeSubcut","13.1"
"ENSG00000141736.13","GTEX-ZPCL-2126-SM-57WFZ","adiposeSubcut","10.09"
"ENSG00000141736.13","GTEX-ZP4G-2326-SM-57WEM","adiposeSubcut","10.48"
"ENSG00000141736.13","GTEX-ZLWG-2226-SM-DO92V","adiposeSubcut","14.96"
"ENSG00000141736.13","GTEX-ZLV1-1826-SM-5FQU5","adiposeSubcut","14.02"
"ENSG00000141736.13","GTEX-ZLFU-2626-SM-DO91L","adiposeSubcut","15.19"
"ENSG00000141736.13","GTEX-ZGAY-0626-SM-DO92E","adiposeSubcut","12.35"
"ENSG00000141736.13","GTEX-ZF3C-0226-SM-4WWB3","adiposeSubcut","9.147"
"ENSG00000141736.13","GTEX-ZF29-2226-SM-4WWB9","adiposeSubcut","14.4"
"ENSG00000141736.13","GTEX-ZF28-0226-SM-5S2OE","adiposeSubcut","11.54"
"ENSG00000141736.13","GTEX-ZEX8-2326-SM-5S2MN","adiposeSubcut","21.86"
"ENSG00000141736.13","GTEX-ZE9C-2826-SM-5S2MO","adiposeSubcut","10.94"
